coverage,dimension,threshold,linkage,nb_motifs,nb_motif_sets,full_numba,repeat,Time [ms]
0.5,50,0.5,complete,60,5,False,9,2439.256794
0.5,50,0.5,complete,60,10,False,0,3084.661615
0.5,50,0.5,complete,60,10,False,1,3097.317137
0.5,50,0.5,complete,60,10,False,2,3057.19509
0.5,50,0.5,complete,60,10,False,3,2867.284067
0.5,50,0.5,complete,60,10,False,4,3117.413307
0.5,50,0.5,complete,60,10,False,5,2889.630843
0.5,50,0.5,complete,60,10,False,6,3122.426712
0.5,50,0.5,complete,60,10,False,7,3109.970365
0.5,50,0.5,complete,60,10,False,8,3036.855448
0.5,50,0.5,complete,60,10,False,9,3029.749229
0.5,50,0.5,complete,60,15,False,0,3909.692412
0.5,50,0.5,complete,60,15,False,1,4076.19304
0.5,50,0.5,complete,60,15,False,2,3870.275546
0.5,50,0.5,complete,60,15,False,3,3917.30685
0.5,50,0.5,complete,60,15,False,4,3930.436842
0.5,50,0.5,complete,60,15,False,5,3865.408307
0.5,50,0.5,complete,60,15,False,6,3786.283954
0.5,50,0.5,complete,60,15,False,7,3852.741123
0.5,50,0.5,complete,60,15,False,8,3760.70287
0.5,50,0.5,complete,60,15,False,9,3697.970852
0.5,50,0.5,complete,60,20,False,0,3669.579338
0.5,50,0.5,complete,60,20,False,1,3614.575307
0.5,50,0.5,complete,60,20,False,2,3737.56882
0.5,50,0.5,complete,60,20,False,3,3701.66103
0.5,50,0.5,complete,60,20,False,4,3590.784632
0.5,50,0.5,complete,60,20,False,5,3722.299994
0.5,50,0.5,complete,60,20,False,6,3760.536226
0.5,50,0.5,complete,60,20,False,7,3624.311353
0.5,50,0.5,complete,60,20,False,8,3569.322619
0.5,50,0.5,complete,60,20,False,9,3635.779602
0.5,50,0.5,complete,60,25,False,0,6275.048176
0.5,50,0.5,complete,60,25,False,1,5905.78159
0.5,50,0.5,complete,60,25,False,2,5908.191835
0.5,50,0.5,complete,60,25,False,3,6195.665123
0.5,50,0.5,complete,60,25,False,4,6265.538655
0.5,50,0.5,complete,60,25,False,5,6183.493597
0.5,50,0.5,complete,60,25,False,6,6332.283684
0.5,50,0.5,complete,60,25,False,7,6102.112644
0.5,50,0.5,complete,60,25,False,8,6287.144354
0.5,50,0.5,complete,60,25,False,9,6011.087825
0.5,50,0.5,complete,60,30,False,0,8426.36969
0.5,50,0.5,complete,60,30,False,1,8587.354638
0.5,50,0.5,complete,60,30,False,2,8897.83712
0.5,50,0.5,complete,60,30,False,3,8720.752061
0.5,50,0.5,complete,60,30,False,4,8280.694672
0.5,50,0.5,complete,60,30,False,5,8227.619794
0.5,50,0.5,complete,60,30,False,6,8446.671823
0.5,50,0.5,complete,60,30,False,7,8918.188623
0.5,50,0.5,complete,60,30,False,8,8567.952772
0.5,50,0.5,complete,60,30,False,9,8261.98087
0.5,3,0.5,average,60,15,True,0,4.181848
0.5,3,0.5,average,60,15,True,1,4.552787
0.5,3,0.5,average,60,15,True,2,4.416971
0.5,3,0.5,average,60,15,True,3,4.46359
0.5,3,0.5,average,60,15,True,4,4.396576
0.5,3,0.5,average,60,15,True,5,3.738287
0.5,3,0.5,average,60,15,True,6,4.437793
0.5,3,0.5,average,60,15,True,7,3.710629
0.5,3,0.5,average,60,15,True,8,4.438737
0.5,3,0.5,average,60,15,True,9,3.702239
0.5,5,0.5,average,60,15,True,0,15.674724
0.5,5,0.5,average,60,15,True,1,13.950221
0.5,5,0.5,average,60,15,True,2,14.828184
0.5,5,0.5,average,60,15,True,3,14.078713
0.5,5,0.5,average,60,15,True,4,14.388129
0.5,5,0.5,average,60,15,True,5,13.563394
0.5,5,0.5,average,60,15,True,6,15.26393
0.5,5,0.5,average,60,15,True,7,12.980338
0.5,5,0.5,average,60,15,True,8,15.009074
0.5,5,0.5,average,60,15,True,9,15.761193
0.5,10,0.5,average,60,15,True,0,56.449166
