coverage,dimension,threshold,linkage,nb_motifs,nb_motif_sets,full_numba,repeat,Time [ms]
0.6,50,0.7,average,60,15,True,0,1546.9623
0.6,50,0.7,average,60,15,True,1,1438.0405
0.6,50,0.7,average,60,15,True,2,1427.01
0.6,50,0.7,average,60,15,True,3,1343.5114
0.6,50,0.7,average,60,15,True,4,1353.476
0.6,50,0.7,average,60,15,True,5,1361.382
0.6,50,0.7,average,60,15,True,6,1594.1485
0.6,50,0.7,average,60,15,True,7,1461.4373
0.6,50,0.7,average,60,15,True,8,1464.0674
0.6,50,0.7,average,60,15,True,9,1518.4913
0.6,50,0.8,average,60,15,True,0,1568.0741
0.6,50,0.8,average,60,15,True,1,1450.6611
0.6,50,0.8,average,60,15,True,2,1334.1361
0.6,50,0.8,average,60,15,True,3,1472.4389
0.6,50,0.8,average,60,15,True,4,1338.0887
0.6,50,0.8,average,60,15,True,5,1556.0635
0.6,50,0.8,average,60,15,True,6,1418.1762
0.6,50,0.8,average,60,15,True,7,1289.4087
0.6,50,0.8,average,60,15,True,8,1468.7416
0.6,50,0.8,average,60,15,True,9,1456.8692
0.6,50,0.9,average,60,15,True,0,1392.2774
0.6,50,0.9,average,60,15,True,1,1283.8431
0.6,50,0.9,average,60,15,True,2,1238.1333
0.6,50,0.9,average,60,15,True,3,1311.1044
0.6,50,0.9,average,60,15,True,4,1303.5478
0.6,50,0.9,average,60,15,True,5,1375.7244
0.6,50,0.9,average,60,15,True,6,1415.9666
0.6,50,0.9,average,60,15,True,7,1207.0437
0.6,50,0.9,average,60,15,True,8,1302.426
0.6,50,0.9,average,60,15,True,9,1380.7936
0.6,50,1.0,average,60,15,True,0,1327.7748
0.6,50,1.0,average,60,15,True,1,1278.3248
0.6,50,1.0,average,60,15,True,2,1343.314
0.6,50,1.0,average,60,15,True,3,1390.345
0.6,50,1.0,average,60,15,True,4,1421.3148
0.6,50,1.0,average,60,15,True,5,1297.6686
0.6,50,1.0,average,60,15,True,6,1379.9268
0.6,50,1.0,average,60,15,True,7,1301.8872
0.6,50,1.0,average,60,15,True,8,1202.2976
0.6,50,1.0,average,60,15,True,9,1480.2751
0.7,50,0.1,average,60,15,True,0,1197.9037
0.7,50,0.1,average,60,15,True,1,1203.3659
0.7,50,0.1,average,60,15,True,2,1147.5693
0.7,50,0.1,average,60,15,True,3,1223.1289
0.7,50,0.1,average,60,15,True,4,1181.0056
0.7,50,0.1,average,60,15,True,5,1069.889
0.7,50,0.1,average,60,15,True,6,1240.9967
0.7,50,0.1,average,60,15,True,7,1149.6765
0.7,50,0.1,average,60,15,True,8,1176.0262
0.7,50,0.1,average,60,15,True,9,1044.8228
0.7,50,0.2,average,60,15,True,0,1336.0219
0.7,50,0.2,average,60,15,True,1,1378.1924
0.7,50,0.2,average,60,15,True,2,1441.8481
0.7,50,0.2,average,60,15,True,3,1247.4885
0.7,50,0.2,average,60,15,True,4,1247.0903
0.7,50,0.2,average,60,15,True,5,1229.167
0.7,50,0.2,average,60,15,True,6,1348.9143
0.7,50,0.2,average,60,15,True,7,1297.0837
0.7,50,0.2,average,60,15,True,8,1200.4775
0.7,50,0.2,average,60,15,True,9,1189.8775
0.7,50,0.3,average,60,15,True,0,1391.5421
0.7,50,0.3,average,60,15,True,1,1415.5152
0.7,50,0.3,average,60,15,True,2,1528.4205
0.7,50,0.3,average,60,15,True,3,1384.3244
0.7,50,0.3,average,60,15,True,4,1562.4173
0.7,50,0.3,average,60,15,True,5,1404.666
0.7,50,0.3,average,60,15,True,6,1454.386
0.7,50,0.3,average,60,15,True,7,1397.0662
0.7,50,0.3,average,60,15,True,8,1397.2451
0.7,50,0.3,average,60,15,True,9,1486.182
0.7,50,0.4,average,60,15,True,0,1500.1577
0.7,50,0.4,average,60,15,True,1,1401.8283
0.7,50,0.4,average,60,15,True,2,1460.3025
0.7,50,0.4,average,60,15,True,3,1417.772
0.7,50,0.4,average,60,15,True,4,1497.2192
0.7,50,0.4,average,60,15,True,5,1514.3291
0.7,50,0.4,average,60,15,True,6,1412.2626
0.7,50,0.4,average,60,15,True,7,1513.0332
0.7,50,0.4,average,60,15,True,8,1505.4995
0.7,50,0.4,average,60,15,True,9,1488.6221
0.7,50,0.5,average,60,15,True,0,1627.3477
0.7,50,0.5,average,60,15,True,1,1468.7224
0.7,50,0.5,average,60,15,True,2,1471.0419
0.7,50,0.5,average,60,15,True,3,1549.7978
0.7,50,0.5,average,60,15,True,4,1463.5612
0.7,50,0.5,average,60,15,True,5,1491.1448
0.7,50,0.5,average,60,15,True,6,1536.3688
0.7,50,0.5,average,60,15,True,7,1439.587
0.7,50,0.5,average,60,15,True,8,1442.5452
0.7,50,0.5,average,60,15,True,9,1468.6883
0.7,50,0.6,average,60,15,True,0,1548.497
0.7,50,0.6,average,60,15,True,1,1434.2848
0.7,50,0.6,average,60,15,True,2,1668.2168
0.7,50,0.6,average,60,15,True,3,1541.7676
0.7,50,0.6,average,60,15,True,4,1502.4431
0.7,50,0.6,average,60,15,True,5,1560.3536
0.7,50,0.6,average,60,15,True,6,1496.6991
0.7,50,0.6,average,60,15,True,7,1549.2554
0.7,50,0.6,average,60,15,True,8,1485.4274
0.7,50,0.6,average,60,15,True,9,1306.4877
0.7,50,0.7,average,60,15,True,0,1548.2023
0.7,50,0.7,average,60,15,True,1,1699.3867
0.7,50,0.7,average,60,15,True,2,1640.5122
0.7,50,0.7,average,60,15,True,3,1410.7169
0.7,50,0.7,average,60,15,True,4,1449.043
0.7,50,0.7,average,60,15,True,5,1451.2483
0.7,50,0.7,average,60,15,True,6,1628.507
0.7,50,0.7,average,60,15,True,7,1641.2561
0.7,50,0.7,average,60,15,True,8,1612.0459
0.7,50,0.7,average,60,15,True,9,1473.4238
0.7,50,0.8,average,60,15,True,0,1366.3957
0.7,50,0.8,average,60,15,True,1,1374.574
0.7,50,0.8,average,60,15,True,2,1367.6963
0.7,50,0.8,average,60,15,True,3,1279.7317
0.7,50,0.8,average,60,15,True,4,1413.3317
0.7,50,0.8,average,60,15,True,5,1365.9483
0.7,50,0.8,average,60,15,True,6,1350.0855
0.7,50,0.8,average,60,15,True,7,1308.7367
0.7,50,0.8,average,60,15,True,8,1358.632
0.7,50,0.8,average,60,15,True,9,1423.4451
0.7,50,0.9,average,60,15,True,0,1311.7477
0.7,50,0.9,average,60,15,True,1,1330.0602
0.7,50,0.9,average,60,15,True,2,1272.2251
0.7,50,0.9,average,60,15,True,3,1364.2495
0.7,50,0.9,average,60,15,True,4,1231.3776
0.7,50,0.9,average,60,15,True,5,1340.1288
0.7,50,0.9,average,60,15,True,6,1262.173
0.7,50,0.9,average,60,15,True,7,1354.9802
0.7,50,0.9,average,60,15,True,8,1292.7848
0.7,50,0.9,average,60,15,True,9,1320.0421
0.7,50,1.0,average,60,15,True,0,1297.6077
0.7,50,1.0,average,60,15,True,1,1247.3328
0.7,50,1.0,average,60,15,True,2,1268.6612
0.7,50,1.0,average,60,15,True,3,1336.7007
0.7,50,1.0,average,60,15,True,4,1384.7963
0.7,50,1.0,average,60,15,True,5,1397.0498
0.7,50,1.0,average,60,15,True,6,1548.0269
0.7,50,1.0,average,60,15,True,7,1372.8354
0.7,50,1.0,average,60,15,True,8,1301.7543
0.7,50,1.0,average,60,15,True,9,1689.4724
0.8,50,0.1,average,60,15,True,0,1103.5945
0.8,50,0.1,average,60,15,True,1,1209.9908
0.8,50,0.1,average,60,15,True,2,1101.779
0.8,50,0.1,average,60,15,True,3,1240.0568
0.8,50,0.1,average,60,15,True,4,1091.7228
0.8,50,0.1,average,60,15,True,5,1030.5021
0.8,50,0.1,average,60,15,True,6,1110.2934
0.8,50,0.1,average,60,15,True,7,1132.2586
0.8,50,0.1,average,60,15,True,8,1079.5301
0.8,50,0.1,average,60,15,True,9,1372.8543
0.8,50,0.2,average,60,15,True,0,1363.0207
0.8,50,0.2,average,60,15,True,1,1398.89
0.8,50,0.2,average,60,15,True,2,1118.5004
0.8,50,0.2,average,60,15,True,3,1220.7433
0.8,50,0.2,average,60,15,True,4,1167.185
0.8,50,0.2,average,60,15,True,5,1265.9886
0.8,50,0.2,average,60,15,True,6,1242.5883
0.8,50,0.2,average,60,15,True,7,1181.852
0.8,50,0.2,average,60,15,True,8,1206.8473
0.8,50,0.2,average,60,15,True,9,1248.6264
0.8,50,0.3,average,60,15,True,0,1332.951
0.8,50,0.3,average,60,15,True,1,1227.3651
0.8,50,0.3,average,60,15,True,2,1279.1799
0.8,50,0.3,average,60,15,True,3,1315.6233
0.8,50,0.3,average,60,15,True,4,1312.6363
0.8,50,0.3,average,60,15,True,5,1283.8975
0.8,50,0.3,average,60,15,True,6,1279.039
0.8,50,0.3,average,60,15,True,7,1401.9357
0.8,50,0.3,average,60,15,True,8,1269.9846
0.8,50,0.3,average,60,15,True,9,1273.7079
0.8,50,0.4,average,60,15,True,0,1394.4423
0.8,50,0.4,average,60,15,True,1,1293.0362
0.8,50,0.4,average,60,15,True,2,1372.2513
0.8,50,0.4,average,60,15,True,3,1415.0748
0.8,50,0.4,average,60,15,True,4,1393.436
0.8,50,0.4,average,60,15,True,5,1383.9432
0.8,50,0.4,average,60,15,True,6,1361.6857
0.8,50,0.4,average,60,15,True,7,1455.5679
0.8,50,0.4,average,60,15,True,8,1395.3212
0.8,50,0.4,average,60,15,True,9,1539.6542
0.8,50,0.5,average,60,15,True,0,1421.4858
0.8,50,0.5,average,60,15,True,1,1442.7872
0.8,50,0.5,average,60,15,True,2,1513.2743
0.8,50,0.5,average,60,15,True,3,1433.5154
0.8,50,0.5,average,60,15,True,4,1395.4293
0.8,50,0.5,average,60,15,True,5,1459.6255
0.8,50,0.5,average,60,15,True,6,1371.445
0.8,50,0.5,average,60,15,True,7,1426.9118
0.8,50,0.5,average,60,15,True,8,1367.5336
0.8,50,0.5,average,60,15,True,9,1367.5831
0.8,50,0.6,average,60,15,True,0,1491.7418
0.8,50,0.6,average,60,15,True,1,1531.2447
0.8,50,0.6,average,60,15,True,2,1489.4609
0.8,50,0.6,average,60,15,True,3,1494.8924
0.8,50,0.6,average,60,15,True,4,1478.9421
0.8,50,0.6,average,60,15,True,5,1353.6167
0.8,50,0.6,average,60,15,True,6,1450.2147
0.8,50,0.6,average,60,15,True,7,1390.7636
0.8,50,0.6,average,60,15,True,8,1404.4017
0.8,50,0.6,average,60,15,True,9,1440.2354
0.8,50,0.7,average,60,15,True,0,1419.3672
0.8,50,0.7,average,60,15,True,1,1430.8581
0.8,50,0.7,average,60,15,True,2,1442.9782
0.8,50,0.7,average,60,15,True,3,1422.6761
0.8,50,0.7,average,60,15,True,4,1430.0546
0.8,50,0.7,average,60,15,True,5,1391.6434
0.8,50,0.7,average,60,15,True,6,1424.6067
0.8,50,0.7,average,60,15,True,7,1412.146
0.8,50,0.7,average,60,15,True,8,1338.0512
0.8,50,0.7,average,60,15,True,9,1446.8708
0.8,50,0.8,average,60,15,True,0,1383.1675
0.8,50,0.8,average,60,15,True,1,1335.7457
0.8,50,0.8,average,60,15,True,2,1309.6298
0.8,50,0.8,average,60,15,True,3,1324.6173
0.8,50,0.8,average,60,15,True,4,1316.3525
0.8,50,0.8,average,60,15,True,5,1428.8321
0.8,50,0.8,average,60,15,True,6,1366.4919
0.8,50,0.8,average,60,15,True,7,1300.1649
0.8,50,0.8,average,60,15,True,8,1375.9793
0.8,50,0.8,average,60,15,True,9,1295.0414
0.8,50,0.9,average,60,15,True,0,1251.806
0.8,50,0.9,average,60,15,True,1,1291.5883
0.8,50,0.9,average,60,15,True,2,1258.1378
0.8,50,0.9,average,60,15,True,3,1283.3469
0.8,50,0.9,average,60,15,True,4,1229.0546
0.8,50,0.9,average,60,15,True,5,1255.7866
0.8,50,0.9,average,60,15,True,6,1327.3394
0.8,50,0.9,average,60,15,True,7,1296.5704
0.8,50,0.9,average,60,15,True,8,1362.7972
0.8,50,0.9,average,60,15,True,9,1170.8465
0.8,50,1.0,average,60,15,True,0,1245.4891
0.8,50,1.0,average,60,15,True,1,1272.087
0.8,50,1.0,average,60,15,True,2,1257.2301
0.8,50,1.0,average,60,15,True,3,1215.4563
0.8,50,1.0,average,60,15,True,4,1221.4659
0.8,50,1.0,average,60,15,True,5,1205.3246
0.8,50,1.0,average,60,15,True,6,1392.6317
0.8,50,1.0,average,60,15,True,7,1570.6178
0.8,50,1.0,average,60,15,True,8,1565.6369
0.8,50,1.0,average,60,15,True,9,1427.2281
